,ad,dataset,c_type,n_cell,cell_times,seq_depth,method,metric,evaluation,fig_path,hyper_para
49,path,human_pancreas_norm_complexBatch,acinar,2,0,1000,scgen,nmi,0.0,immuneacinar_2_0_1000_100,100
50,path,human_pancreas_norm_complexBatch,acinar,2,0,1000,scgen,ari,0.0,immuneacinar_2_0_1000_100,100
51,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,pcr,0.0,immunebeta_0_0_5000_5,5
52,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,nmi,0.0,immunebeta_0_0_5000_5,5
53,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,ari,0.0,immunebeta_0_0_5000_5,5
54,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,pcr,0.8836619123153978,immunebeta_0_0_5000_50,50
55,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,nmi,0.0,immunebeta_0_0_5000_50,50
56,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,ari,0.0,immunebeta_0_0_5000_50,50
57,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,pcr,0.0,immunebeta_0_0_5000_100,100
58,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,nmi,0.0,immunebeta_0_0_5000_100,100
59,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,ari,0.0,immunebeta_0_0_5000_100,100
60,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,pcr,0.0,immuneactivated_stellate_2_0_5000_5,5
61,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,nmi,0.0,immuneactivated_stellate_2_0_5000_5,5
62,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,ari,0.0,immuneactivated_stellate_2_0_5000_5,5
63,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,pcr,0.9143315018225403,immuneactivated_stellate_2_0_5000_50,50
64,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,nmi,0.0,immuneactivated_stellate_2_0_5000_50,50
65,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,ari,0.0,immuneactivated_stellate_2_0_5000_50,50
66,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,pcr,0.622162232221906,immuneactivated_stellate_2_0_5000_100,100
67,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,nmi,0.0,immuneactivated_stellate_2_0_5000_100,100
68,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,ari,0.0,immuneactivated_stellate_2_0_5000_100,100
69,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,pcr,0.6048672228469946,immunebeta_2_0_5000_5,5
70,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,nmi,0.0,immunebeta_2_0_5000_5,5
71,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,ari,0.0,immunebeta_2_0_5000_5,5
72,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,pcr,0.0,immunebeta_2_0_5000_50,50
73,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,nmi,0.0,immunebeta_2_0_5000_50,50
74,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,ari,0.0,immunebeta_2_0_5000_50,50
75,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,pcr,0.9692600353181277,immunebeta_2_0_5000_100,100
76,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,nmi,0.0,immunebeta_2_0_5000_100,100
77,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,ari,0.0,immunebeta_2_0_5000_100,100
